Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address ,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
Avalyn Taylor,42,69,1977,9,Female,6777 First Drive,Rialto,CA,92376,34.1,-117.38,"$14,632 ","$29,835 ","$46,702 ",618,7
Lucca James,78,65,1941,7,Male,22 East Avenue,Novi,MI,48375,42.47,-83.49,"$34,259 ","$62,103 ","$33,545 ",509,4
Reyna Kelley,51,65,1969,2,Female,733 Maple Drive Apt. 4076,Columbia,MO,65201,38.95,-92.32,"$20,966 ","$42,749 ","$53,471 ",728,4
Gabriella Flores,38,64,1981,7,Female,6022 Mill Street,Houston,TX,77095,29.76,-95.38,"$33,925 ","$69,171 ","$102,537 ",622,1
Monserrat Perez,98,60,1921,11,Female,412 Burns Drive,Ewa Beach,HI,96706,21.31,-158.01,"$22,778 ","$42,306 ",$472 ,725,5
Lilly James,29,67,1990,10,Female,645 Tenth Boulevard,El Cajon,CA,92021,32.84,-116.88,"$20,673 ","$42,150 ","$39,663 ",750,3
Keyla Moore,23,63,1996,11,Female,994 Second Lane,Suitland,MD,20746,38.83,-76.92,"$23,340 ","$47,589 ","$114,020 ",763,4
Douglas Labelle,68,65,1952,2,Male,69 Spruce Avenue,Hendersonville,NC,28792,35.32,-82.46,"$13,634 ","$23,993 ","$2,573 ",714,5
Esperanza Campbell,52,65,1967,8,Female,23 Sussex Lane,Allenton,MI,48002,42.92,-82.88,"$20,942 ","$42,701 ","$53,696 ",701,4
Karina Parker,41,69,1978,8,Female,6157 Washington Drive Apt. 9,Capistrano Beach,CA,92624,33.45,-117.66,"$27,622 ","$56,320 ","$84,614 ",792,3
Seth Wright,59,68,1960,6,Male,4728 George Drive,Grand Rapids,MI,49548,42.96,-85.65,"$15,472 ","$31,550 ","$26,738 ",710,3
Terry Nguyen,56,75,1963,9,Male,1184 Essex Lane,Highlands,NC,28741,35.05,-83.19,"$15,899 ","$32,418 ","$84,507 ",758,4
Anderson Jackson,47,65,1972,10,Male,6232 Second Avenue Apt. 2,Perris,CA,92571,33.83,-117.2,"$16,109 ","$32,847 ","$3,230 ",785,3
Emmett Hall,40,65,1980,2,Male,663 Third Drive Apt. 1,The Colony,TX,75056,33.09,-96.88,"$31,905 ","$65,053 ","$83,571 ",775,2
Musa Abe,72,65,1947,6,Male,527 Federal Avenue Apt. 533,San Ramon,CA,94583,37.78,-121.99,$0 ,"$2,422 ",$810 ,632,2
Vera Hughes,36,68,1984,2,Female,4350 Valley Boulevard,Caldwell,OH,43724,39.74,-81.51,"$15,950 ","$32,522 ","$28,260 ",769,2
Amara Moore,43,66,1976,9,Female,5180 Burns Boulevard,Griffin,GA,30224,33.24,-84.27,"$17,811 ","$36,315 ",$0 ,824,3
Zoie Ward,64,62,1955,7,Female,28 First Lane,Chambersburg,PA,17202,39.92,-77.71,"$20,943 ","$39,206 ","$9,219 ",605,4
Rory Ross,27,66,1992,7,Female,8555 Eighth Avenue,North Tazewell,VA,24630,37.16,-81.5,"$16,501 ","$33,641 ","$40,696 ",743,1
Valeria Schmidt,56,65,1963,3,Female,900 Littlewood Street,Barnegat,NJ,8005,39.75,-74.22,"$20,034 ","$40,848 ","$146,608 ",706,2
Valentina Perez,47,66,1973,2,Female,96 Jefferson Street,Daytona Beach,FL,32118,29.19,-81.05,"$16,733 ","$34,112 ","$39,842 ",725,4
Charley King,26,67,1994,2,Female,682 Martin Luther King Avenue,Dallas,TX,75230,32.79,-96.76,"$63,159 ","$128,775 ","$232,506 ",655,1
Brennan Flores,50,66,1969,10,Male,517 Eighth Drive Apt. 440,Huntington,NY,11743,40.87,-73.4,"$51,032 ","$104,045 ",$0 ,734,3
Paulina Hill,58,66,1961,6,Female,385 Jefferson Avenue Apt. 9,Hendersonville,TN,37075,36.29,-86.6,"$25,166 ","$51,316 ",$0 ,759,6
Ramona Parker,66,59,1954,1,Female,1105 Second Drive,Dearborn,MI,48124,42.31,-83.21,"$24,561 ","$48,690 ","$36,262 ",701,6
Renee Brooks,18,65,2002,2,Female,1358 Plum Avenue,Lucinda,PA,16235,41.31,-79.38,"$17,321 ","$35,311 ","$44,783 ",684,5
Emmy Gomez,42,63,1977,8,Female,800 Madison Street,Orlando,FL,32808,28.5,-81.37,"$13,414 ","$27,354 ","$42,226 ",799,1
Ainsley Phillips,56,66,1963,4,Female,13 Rose Boulevard,Pawling,NY,12564,41.56,-73.59,"$31,288 ","$63,796 ","$82,173 ",730,3
Marlon Howard,28,65,1991,5,Male,104 First Boulevard,Apex,NC,27502,35.72,-78.84,"$32,485 ","$66,237 ","$146,680 ",785,1
Kai King,58,66,1961,7,Female,427 Essex Lane,Matthews,NC,28105,35.12,-80.71,"$27,254 ","$55,569 ","$76,181 ",698,6
Emmett Morgan,40,65,1979,5,Male,855 Sussex Avenue,Saint Paul,MN,55116,44.94,-93.1,"$32,972 ","$67,226 ","$128,174 ",729,3
Celine Lonsdale,43,50,1976,11,Female,689 Valley Stream Lane Apt. 9,Boxford,MA,1921,42.67,-70.98,"$52,066 ","$106,159 ","$144,773 ",703,5
Brenna Gonzalez,68,72,1951,8,Female,222 Lafayette Lane Apt. 3,Elma,NY,14059,42.83,-78.63,"$24,651 ","$50,258 ",$0 ,686,3
Keyla Russell,44,69,1975,5,Female,4868 Lake Lane,Huntington Beach,CA,92647,33.72,-118,"$26,966 ","$54,981 ","$121,701 ",737,1
Khalil Fernandez,59,70,1960,8,Male,60396 Elm Street,Naples,FL,34104,26.14,-81.79,"$17,455 ","$35,590 ","$92,603 ",720,4
Robert Anwar,41,67,1978,5,Male,469 Pine Street,Belleville,IL,62221,38.53,-90,"$24,509 ","$49,967 ","$58,582 ",712,4
Miranda Carter,30,63,1989,7,Female,4788 Jefferson Boulevard,Springfield,OR,97478,44.1,-122.8,"$18,446 ","$37,610 ","$64,933 ",586,1
Tinley Fu,31,66,1988,11,Female,4947 Sussex Boulevard,Bensalem,PA,19020,40.1,-74.93,"$24,817 ","$50,599 ","$83,732 ",791,2
Michael Anwar,64,67,1955,10,Male,8999 Washington Drive,Oceanside,NY,11572,40.63,-73.63,"$32,805 ","$66,885 ","$144,703 ",698,7
Adrienne Wilson,61,67,1959,1,Female,9473 Mill Street,Clifton,NJ,7012,40.86,-74.15,"$31,281 ","$63,781 ","$111,808 ",654,1
Kehlani Torres,49,65,1970,7,Female,836 Bayview Avenue,Tulsa,OK,74137,36.12,-95.91,"$46,461 ","$94,733 ",$0 ,707,5
Reese Ryan,49,66,1970,5,Male,4882 Mountain View Lane,Kansas City,MO,64124,39.09,-94.58,"$12,064 ","$24,598 ","$23,019 ",695,4
Corey King,46,66,1974,1,Male,434 Bayview Avenue Apt. 91,Cowansville,PA,16218,40.93,-79.59,"$17,870 ","$36,440 ","$30,574 ",745,2
Reagan Butler,24,65,1996,1,Male,716 Bayview Avenue,Hamptonville,NC,27020,36.11,-80.81,"$15,545 ","$31,693 ","$98,206 ",719,1
Aylin Lopez,19,65,2000,3,Female,39 Park Lane,Los Angeles,CA,90022,34.02,-118.15,"$13,485 ","$27,494 ","$26,097 ",724,1
Abdullah Xi,65,65,1955,2,Male,1032 Second Lane,Clifton Springs,NY,14432,42.95,-77.13,"$19,095 ","$20,614 ","$14,042 ",711,2
Rylee El-Mafouk,82,65,1938,1,Female,1437 Madison Lane,Dallas,TX,75238,32.79,-96.76,"$27,814 ","$66,999 ","$3,140 ",730,5
Marcel Myers,41,61,1978,4,Male,4693 Elm Lane Apt. 682,Crestview,FL,32536,30.75,-86.57,"$19,066 ","$38,874 ","$64,474 ",672,3
Julieta Schmidt,25,69,1995,1,Female,834 Elm Avenue Apt. 8,Woodland Park,CO,80863,38.99,-105.05,"$23,550 ","$48,017 ","$95,549 ",711,1
Josie Fernandez,47,64,1972,8,Female,5647 Burns Boulevard Apt. 6,Galliano,LA,70354,29.43,-90.3,"$21,966 ","$44,789 ","$94,789 ",638,1
Ellis Gray,35,62,1984,5,Female,96 Ninth Drive,Atlanta,TX,75551,33.11,-94.16,"$16,746 ","$34,143 ","$49,839 ",648,4
Trey Carter,83,65,1936,7,Male,3241 Park Lane,Albuquerque,NM,87121,35.11,-106.62,"$15,385 ","$16,611 ","$1,797 ",696,5
Sage Thompson,36,68,1983,3,Female,620 River Boulevard,Walla Walla,WA,99362,46.11,-118.3,"$18,880 ","$38,496 ","$64,688 ",642,2
Ivan Anderson,78,64,1941,11,Male,5004 Lake Street,Oklahoma City,OK,73110,35.46,-97.51,"$16,016 ","$31,046 ","$11,436 ",706,6
Noe Sanchez,37,71,1982,3,Male,7954 Wessex Boulevard Apt. 3,Vienna,VA,22182,38.9,-77.26,"$60,593 ","$123,540 ","$236,393 ",764,4
Brooklyn Cook,65,65,1954,5,Female,9052 River Lane,Alcoa,TN,37701,35.79,-83.97,"$18,273 ","$39,809 ",$0 ,775,4
Eric Lonsdale,64,65,1956,1,Male,25521 First Street,Dublin,GA,31021,32.53,-82.92,"$16,958 ","$34,576 ","$81,087 ",683,1
Estella Price,74,67,1945,7,Female,5064 North Lane,Woodmere,NY,11598,40.63,-73.72,"$45,685 ","$110,570 ","$5,700 ",766,8
Jett Barnes,28,69,1992,1,Male,564 Catherine Lane,Green Bay,WI,54302,44.52,-87.98,"$16,801 ","$34,262 ","$60,506 ",846,2
Maximiliano Carter,40,71,1979,12,Male,9466 Essex Street,Bessemer,AL,35023,33.43,-86.99,"$19,851 ","$40,473 ","$54,899 ",689,4
Juliette Phillips,33,67,1986,4,Female,9761 East Street,Atlanta,GA,30342,33.88,-84.37,"$47,453 ","$96,744 ","$128,122 ",838,5
Miller Powell,48,70,1971,8,Male,884 Tenth Drive Apt. 563,Louisville,MS,39339,33.12,-89.05,"$15,316 ","$31,231 ","$40,499 ",681,3
Tori Macron,57,65,1962,5,Female,992 Forest Street,Allen,TX,75002,33.1,-96.66,"$32,580 ","$66,427 ","$103,290 ",779,5
Andres Lewis,31,70,1988,11,Male,237 Hill Lane Apt. 8,Waco,TX,76707,31.56,-97.18,"$11,512 ","$23,469 ","$22,976 ",731,3
Aydin Long,30,69,1989,11,Male,8687 Ninth Drive Apt. 5154,Lakewood,NJ,8701,40.09,-74.21,"$13,006 ","$26,519 ","$63,979 ",663,3
Martha Bailey,40,64,1979,8,Female,6950 Federal Avenue,Ashville,AL,35953,33.83,-86.26,"$17,067 ","$34,799 ","$72,749 ",793,2
Ryann Schmidt,28,70,1991,12,Female,816 Little Creek Lane,Astoria,OR,97103,46.12,-123.67,"$17,260 ","$35,194 ","$56,006 ",620,1
Marie Gray,28,66,1991,7,Female,7004 Mill Drive,Zion,IL,60099,42.45,-87.84,"$19,463 ","$39,679 ","$93,772 ",758,2
Tomas Ross,67,66,1952,3,Male,1 Burns Lane,San Jose,CA,95121,37.3,-121.8,"$25,115 ","$31,287 ","$25,844 ",728,4
Issac Gomez,26,71,1993,9,Male,381 Sussex Avenue Apt. 20,Nolanville,TX,76559,31.07,-97.61,"$19,032 ","$38,805 ","$54,466 ",614,2
Barbara Peterson,43,67,1976,4,Female,4 North Street,Washington,DC,20011,38.89,-77.03,"$23,940 ","$48,810 ",$0 ,799,3
Owen Johnson,62,67,1957,6,Male,896 Madison Boulevard,Meridian,ID,83646,43.65,-116.43,"$22,290 ","$45,450 ","$85,218 ",686,3
Ellen Sanders,25,64,1994,7,Female,5338 Fifth Boulevard,Union City,NJ,7087,40.76,-74.03,"$16,770 ","$34,201 ","$42,895 ",731,1
Nyla Faraday,53,64,1966,3,Female,5773 River Street,Burney,CA,96013,40.94,-121.74,"$16,742 ","$34,137 ","$80,467 ",671,4
Blaze Davis,67,67,1952,12,Male,388 Third Avenue,Fresno,CA,93727,36.75,-119.67,"$17,683 ","$28,357 ","$10,400 ",628,2
Gabriella Price,30,62,1989,8,Female,9104 Second Avenue Apt. 689,Houston,TX,77081,29.76,-95.38,"$15,862 ","$32,343 ","$39,656 ",683,3
Jewel Smith,18,68,2002,1,Female,2108 Spruce Lane,Sacramento,CA,95825,38.58,-121.4,"$20,670 ","$42,142 ","$116,857 ",713,2
Mekhi Phillips,30,65,1989,7,Male,7691 Ocean View Avenue,New Bern,NC,28560,35.11,-77.07,"$16,177 ","$32,985 ","$32,764 ",740,2
Omari Cook,82,62,1937,8,Male,58 River Avenue,New York,NY,10032,40.71,-73.99,"$16,494 ","$23,572 ",$216 ,590,2
Kehlani Foster,25,70,1994,12,Female,142 Rose Drive,Springfield,MA,1107,42.11,-72.53,"$14,155 ","$28,862 ","$20,944 ",751,2
Aliana Diaz,76,68,1943,10,Female,2760 Forest Drive,Sioux Falls,SD,57106,43.54,-96.73,"$21,089 ","$31,145 ","$5,132 ",689,4
Amari Masvidal,64,70,1956,2,Female,9505 Martin Luther King Avenue,Modesto,CA,95351,37.63,-121.01,"$13,015 ","$26,535 ","$93,592 ",724,5
Chanel Jackson,58,70,1962,2,Female,901 Oak Street,New Kensington,PA,15068,40.56,-79.75,"$19,517 ","$39,796 ","$9,452 ",729,5
Kyree Phillips,71,67,1948,3,Male,3095 Hill Boulevard Apt. 6,Casper,WY,82604,42.83,-106.32,"$25,502 ","$51,703 ","$5,371 ",722,7
Sutton Harris,66,66,1953,12,Male,350 North Street Apt. 7659,Romulus,MI,48174,42.22,-83.36,"$18,879 ","$31,175 ","$5,846 ",711,5
Thiago Roman,89,73,1930,11,Male,89 Wessex Street,Chicago Heights,IL,60411,41.5,-87.63,"$16,503 ","$38,761 ",$69 ,760,7
Pedro Phillips,86,62,1933,11,Male,3899 Seventh Lane,Jacksonville,FL,32218,30.33,-81.65,"$19,382 ","$33,291 ",$695 ,714,2
Emerson Faraday,40,64,1980,2,Female,7476 First Lane,Gainesville,FL,32606,29.67,-82.33,"$25,812 ","$52,630 ","$68,559 ",725,4
Tony Walker,73,64,1946,12,Male,6781 Spruce Boulevard,Pacoima,CA,91331,34.25,-118.41,"$14,317 ","$26,481 ","$10,392 ",705,1
Robert Fu,24,59,1995,7,Male,276 12th Boulevard,Chicago,IL,60614,41.83,-87.68,$0 ,"$2,370 ","$4,397 ",581,1
Nickolas Neufelder,59,67,1960,3,Male,1362 Norfolk Drive,Montgomery,AL,36111,32.35,-86.28,"$21,102 ","$43,021 ","$86,014 ",725,4
Forrest Wood,18,68,2002,1,Male,392 Rose Drive,Dorchester,MA,2125,42.35,-71.06,"$21,809 ","$44,466 ","$3,096 ",709,2
Roger James,50,57,1969,3,Male,1559 Tenth Street Apt. 3829,Tampa,FL,33613,27.95,-82.48,"$21,033 ","$42,886 ","$60,474 ",604,1
Levi Murphy,35,67,1984,5,Male,315 Little Creek Lane Apt. 3,Granite City,IL,62040,38.71,-90.12,"$18,560 ","$37,843 ","$40,003 ",697,3
London Garcia,34,66,1985,10,Male,539 Maple Drive Apt. 88,Kernersville,NC,27284,36.11,-80.07,"$23,738 ","$48,398 ","$138,998 ",642,3
Clementine Carter,33,66,1986,10,Female,26191 George Drive,Detroit,MI,48235,42.38,-83.1,"$13,820 ","$28,181 ","$37,929 ",682,2
Opal Ortiz,48,65,1971,10,Female,7139 Lake Boulevard,Clinton,TN,37716,36.09,-84.13,"$18,353 ","$37,422 ","$127,116 ",681,5
Amy Ryan,24,54,1995,3,Female,5 Hill Avenue Apt. 26,San Diego,CA,92127,33.02,-117.12,"$44,747 ","$91,237 ","$231,619 ",594,1
Davion Xi,59,65,1960,4,Male,9099 Little Creek Drive Apt. 86,Minneapolis,MN,55425,44.96,-93.26,"$21,535 ","$43,913 ","$83,944 ",676,4
Jude James,37,68,1982,4,Male,7559 Forest Boulevard,Hobart,IN,46342,41.53,-87.26,"$21,851 ","$44,550 ","$117,302 ",761,3
Bruce Gonzalez,75,73,1945,2,Male,2842 Littlewood Avenue Apt. 9,Orlando,FL,32825,28.5,-81.37,"$20,121 ","$42,806 ","$20,432 ",726,6
Rowan Rodriguez,63,65,1956,12,Female,4461 Hill Street,Merritt Island,FL,32952,28.32,-80.68,"$26,339 ","$53,702 ","$85,160 ",606,1
Casey El-Mafouk,86,65,1933,8,Female,5220 Lincoln Street,Nashville,TN,37211,36.17,-86.78,"$20,030 ","$38,273 ","$1,658 ",765,6
Ailani Smith,29,67,1991,2,Female,3260 Hillside Lane Apt. 10,Hendersonville,TN,37075,36.29,-86.6,"$25,166 ","$51,303 ","$106,248 ",688,3
Aranza Perez,44,64,1975,5,Female,518 Norfolk Avenue,Jackson,GA,30233,33.29,-83.96,"$17,545 ","$35,775 ","$67,263 ",773,1
Erika El-Mafouk,71,64,1948,3,Female,149 Burns Boulevard,Littleton,CO,80122,39.59,-105.01,"$31,024 ","$67,186 ","$29,682 ",692,1
Morgan Gao,47,67,1972,7,Male,30 First Lane Apt. 9,Johnstown,OH,43031,40.15,-82.68,"$22,934 ","$46,763 ","$65,106 ",696,3
Ayden Kelley,62,70,1958,2,Male,142 Catherine Street,Mission,TX,78572,26.21,-98.31,"$14,275 ","$29,110 ","$23,504 ",699,3
Isaias Abe,90,62,1929,10,Male,3019 Elm Drive,Vineland,NJ,8360,39.46,-74.99,"$17,685 ","$41,831 ","$1,100 ",615,1
Kylie Mitchell,42,65,1978,1,Female,606 Spruce Boulevard,Reading,PA,19607,40.33,-75.92,"$24,089 ","$49,117 ","$42,380 ",769,3
Mallory Morgan,69,70,1950,4,Female,128 Main Street,Middleton,WI,53562,43.1,-89.5,"$33,808 ","$68,930 ","$72,619 ",768,4
Raelynn Williams,68,58,1952,1,Female,44 Ocean Avenue Apt. 91,Little River,SC,29566,33.87,-78.63,"$13,907 ","$20,334 ","$9,544 ",684,2
Freya Garcia,43,61,1976,7,Female,57799 Oak Boulevard Apt. 3380,Buffalo,NY,14211,42.88,-78.85,"$12,220 ","$24,917 ","$36,101 ",693,2
Nicole Ajami,39,67,1980,12,Female,1533 Martin Luther King Lane,South Beloit,IL,61080,42.48,-89.03,"$21,749 ","$44,344 ","$82,822 ",744,3
Courtney Jones,38,68,1982,1,Female,377 Mountain View Drive Apt. 4,Ava,IL,62907,37.88,-89.49,"$16,825 ","$34,311 ","$61,776 ",705,2
Dallas Abe,57,62,1962,3,Male,252 Eighth Lane,Saint Albans,WV,25177,38.37,-81.81,"$17,282 ","$35,239 ","$43,270 ",726,1
Dallas Ajami,55,66,1964,4,Male,959 Tenth Street,Mokelumne Hill,CA,95245,38.29,-120.58,"$18,223 ","$37,147 ",$0 ,703,3
Averi Taylor,50,64,1970,2,Female,61674 Elm Drive Apt. 6,Lebanon,OR,97355,44.52,-122.81,"$17,003 ","$34,671 ","$55,643 ",786,6
Colby Myers,57,69,1962,10,Male,936 12th Street,Pasadena,MD,21122,39.11,-76.55,"$30,004 ","$61,173 ","$71,422 ",692,3
Bria Ortiz,55,72,1964,9,Female,919 Ocean View Lane,Manteca,CA,95337,37.73,-121.24,"$23,368 ","$47,643 ","$45,706 ",764,8
Layla Kelly,60,61,1959,6,Female,498 Elm Lane,Kingman,AZ,86401,35.24,-113.76,"$17,113 ","$34,895 ","$56,622 ",820,4
Oakley Harris,64,68,1956,2,Female,25 Elm Street Apt. 2,Keller,TX,76248,32.93,-97.22,$0 ,"$1,785 ","$2,892 ",732,3
Zachariah Fernandez,98,69,1921,11,Male,468 Spruce Street Apt. 7,Vacaville,CA,95687,38.35,-121.93,"$26,137 ","$33,869 ",$370 ,821,7
Giovanna Reyes,77,68,1943,1,Female,6864 Norfolk Boulevard,Warner Robins,GA,31088,32.61,-83.63,"$20,835 ","$31,066 ","$20,902 ",712,4
Armani Hill,37,68,1982,5,Female,345 George Street,Garland,TX,75044,32.91,-96.62,"$27,057 ","$55,172 ","$96,779 ",629,3
Carolyn Reyes,54,60,1966,2,Female,72990 Second Drive,Hickman,NE,68372,40.62,-96.63,"$23,029 ","$46,956 ","$94,340 ",610,2
Rory El-Mafouk,53,61,1966,7,Male,5886 Ninth Boulevard,Scottsdale,AZ,85260,33.61,-111.89,"$36,300 ","$74,012 ","$93,119 ",681,2
Atlas Evans,32,68,1987,3,Male,69080 Spruce Street,Houston,TX,77035,29.76,-95.38,"$20,055 ","$40,887 ","$50,734 ",688,4
Legend Thomas,32,65,1987,11,Male,6415 Sussex Lane,Milton,PA,17847,41,-76.85,"$16,935 ","$34,531 ","$60,156 ",703,4
Maisie James,18,67,2001,7,Female,243 Forest Lane,Howard Beach,NY,11414,40.66,-73.84,"$26,481 ","$53,995 ","$154,800 ",673,1
Destiny Fu,68,64,1951,6,Female,478 Hill Avenue,Marietta,GA,30067,33.95,-84.54,"$30,747 ","$63,502 ","$24,100 ",638,7
Romeo Fisher,51,67,1969,2,Male,849 Littlewood Drive Apt. 4,Lubbock,TX,79414,33.57,-101.87,"$16,272 ","$33,178 ","$92,366 ",671,2
Zain Ramirez,84,65,1935,4,Male,402 El Camino Drive,Bradenton,FL,34212,27.48,-82.57,"$29,583 ","$44,690 ","$2,249 ",733,5
Melody Nelson,56,61,1963,3,Female,6134 Littlewood Lane Apt. 7,Gulfport,MS,39503,30.38,-89.06,"$19,327 ","$39,409 ","$52,076 ",599,1
David Fu,19,63,2000,5,Male,29894 Martin Luther King Lane,Clearwater,FL,33755,27.97,-82.76,"$16,223 ","$33,080 ","$55,066 ",692,3
Musa Williams,54,64,1965,8,Male,52 Sixth Boulevard,Alpharetta,GA,30005,34.06,-84.27,"$43,725 ","$89,152 ","$162,012 ",675,1
Lydia Moore,70,70,1950,2,Female,888 Lincoln Street,Duluth,MN,55807,46.78,-92.11,"$17,474 ","$27,772 ","$14,408 ",788,4
Mohamed Hall,66,65,1954,1,Male,5238 Plum Street,San Martin,CA,95046,37.1,-121.6,"$26,188 ","$44,137 ","$22,392 ",626,2
Daniella Parker,66,69,1954,2,Female,7888 Fourth Street,Vanceboro,NC,28586,35.3,-77.15,"$14,844 ","$30,265 ","$36,789 ",814,4
Gary Peterson,55,69,1965,1,Male,2100 Summit Street,Houston,TX,77031,29.76,-95.38,"$18,412 ","$37,534 ","$99,840 ",706,3
Kase Chen,21,67,1998,11,Male,3900 Rose Street,Winslow,AZ,86047,35.1,-110.64,"$15,864 ","$32,345 ","$61,066 ",730,3
Adrian Rogers,38,70,1981,3,Male,2750 Rose Boulevard,Postville,IA,52162,43.08,-91.56,"$13,332 ","$27,183 ","$58,323 ",637,1
Harlow Green,52,71,1967,8,Female,869 Little Creek Lane Apt. 1,Holland,MI,49423,42.77,-86.1,"$18,877 ","$38,487 ","$49,725 ",691,3
Melody Masvidal,69,69,1950,4,Female,131 Tenth Avenue,Urbandale,IA,50322,41.63,-93.74,"$26,764 ","$33,642 ","$20,874 ",593,5
Trinity Campbell,51,67,1968,12,Female,3722 Valley Boulevard,El Paso,TX,79902,31.84,-106.43,"$16,823 ","$34,302 ","$84,935 ",651,3
Arianna Clark,31,67,1988,9,Female,775 Lexington Boulevard,Georgetown,TX,78626,30.64,-97.68,"$20,968 ","$42,754 ","$60,172 ",656,1
Cassidy Hill,24,69,1995,4,Female,4020 Littlewood Street,South Park,PA,15129,40.29,-79.99,"$25,037 ","$51,045 ","$127,864 ",772,2
Jonas Baker,84,69,1935,8,Male,463 12th Street Apt. 4,Gwynn Oak,MD,21207,39.32,-76.72,"$20,641 ","$24,055 ",$0 ,733,7
Mayson Collins,28,68,1991,12,Male,243 Wessex Avenue,San Marcos,CA,92069,33.15,-117.17,"$22,081 ","$45,021 ","$77,559 ",689,1
Edgar Cox,18,55,2001,5,Male,2819 Littlewood Lane,York,PA,17406,39.96,-76.73,"$22,991 ","$46,878 ","$60,121 ",578,1
Emberly Young,82,66,1937,9,Female,9952 South Lane,East Hartford,CT,6108,41.76,-72.61,"$20,065 ","$22,726 ","$1,692 ",784,6
Khari Sadr,49,65,1970,4,Male,2379 Forest Lane,Oceanside,CA,92058,33.18,-117.29,"$16,894 ","$34,449 ","$36,540 ",686,3
Jakob Hall,36,66,1983,12,Male,7121 Fourth Avenue Apt. 4,Cassville,MO,65625,36.67,-93.86,"$13,895 ","$28,334 ",$0 ,700,3
Vanessa Anderson,31,67,1988,8,Female,761 Main Avenue,Snohomish,WA,98290,47.94,-122,"$28,037 ","$57,166 ","$111,755 ",737,2
Mariana Braun,59,67,1961,1,Female,535 Grant Boulevard,Edinburgh,IN,46124,39.35,-85.96,"$17,585 ","$35,854 ","$49,101 ",850,2
Kallie Rodriguez,39,71,1980,7,Female,135 Littlewood Avenue Apt. 6,Oceanside,CA,92056,33.2,-117.29,"$22,050 ","$44,958 ","$91,549 ",787,1
Macie Macron,62,72,1958,2,Female,8323 Catherine Boulevard,Jefferson,NC,28640,36.42,-81.46,"$14,218 ","$28,988 ","$13,351 ",694,4
Casey El-Mafouk,53,65,1966,5,Male,7571 George Street,Washington Court House,OH,43160,39.53,-83.43,"$16,544 ","$33,729 ",$0 ,763,4
Alfonso Carter,31,69,1988,5,Male,766 Catherine Boulevard,Fredericksburg,VA,22405,38.29,-77.48,"$29,157 ","$59,455 ","$96,224 ",557,1
Keagan Long,18,70,2002,2,Male,76 Grant Lane,Brooklyn,NY,11210,40.64,-73.94,"$23,316 ","$47,543 ","$124,177 ",667,1
Addisyn Gomez,39,65,1980,4,Female,871 12th Lane,Woodbridge,VA,22191,38.63,-77.26,"$26,618 ","$54,273 ","$110,237 ",789,4
Adelyn Sullivan,77,71,1942,6,Female,6335 Rose Lane,Carson City,NV,89706,39.21,-119.71,"$18,239 ","$38,692 ","$8,902 ",596,5
Rene Fisher,54,69,1965,11,Male,0 Ocean Boulevard,Mckeesport,PA,15132,40.33,-79.83,"$14,663 ","$29,898 ","$19,719 ",714,5
Tinley Chen,22,60,1998,1,Female,566 Hillside Street,Holiday,FL,34691,28.18,-82.74,"$15,418 ","$31,443 ","$52,826 ",676,1
Koda Reed,43,65,1977,2,Male,8061 Spruce Drive Apt. 3,Rolla,MO,65401,37.94,-91.76,"$17,428 ","$35,538 ","$71,591 ",747,1
Ameer Turner,43,67,1976,12,Male,924 First Drive Apt. 10,El Paso,TX,79912,31.84,-106.43,"$24,608 ","$50,174 ","$145,300 ",643,4
Anton White,24,57,1995,6,Male,9226 Tenth Boulevard,Fairfax,VA,22033,38.85,-77.29,"$42,884 ","$87,436 ","$135,294 ",845,2
Aspen Martinez,33,67,1986,11,Female,3550 Sixth Boulevard,Novato,CA,94947,38.1,-122.63,"$30,335 ","$61,846 ","$12,525 ",722,4
Makenzie Rogers,22,62,1997,7,Female,777 Valley Stream Lane,Chicago,IL,60623,41.83,-87.68,"$11,951 ","$24,369 ","$37,437 ",575,4
Willie Farhad,26,68,1993,10,Male,55 Madison Drive,Bridgeport,TX,76426,33.2,-97.75,"$21,810 ","$44,470 ","$66,413 ",721,3
Lionel Bailey,28,65,1991,12,Male,1963 Summit Lane,Fort Lauderdale,FL,33312,26.14,-80.13,"$20,995 ","$42,806 ","$49,194 ",712,3
Alina Harris,69,66,1950,12,Female,20 Oak Street,Yorba Linda,CA,92886,33.89,-117.78,"$38,948 ","$99,825 ","$4,344 ",685,4
Kyleigh Watson,44,66,1975,5,Female,8659 El Camino Street,Hamilton,OH,45013,39.39,-84.56,"$19,569 ","$39,898 ","$43,630 ",682,3
Octavia Miller,39,70,1980,12,Female,470 11th Lane,Indianapolis,IN,46237,39.77,-86.14,"$24,233 ","$49,412 ","$42,378 ",830,3
Alfred Powell,22,68,1997,8,Male,6614 Ninth Boulevard,Manchester,TN,37355,35.46,-86.08,"$16,349 ","$33,337 ","$71,679 ",712,1
Milan Sanchez,58,57,1961,4,Female,9384 Lake Street,Revere,MA,2151,42.41,-70.99,"$20,979 ","$17,078 ","$25,245 ",719,4
Alaina Allen,28,66,1992,2,Female,9706 Mountain View Street,Tucson,AZ,85741,32.33,-111.05,"$21,494 ","$43,826 ","$84,935 ",823,1
